@workoutActivityType,@duration,@durationUnit,@totalDistance,@totalDistanceUnit,@totalEnergyBurned,@totalEnergyBurnedUnit,@sourceName,@sourceVersion,@creationDate,@startDate,@endDate,MetadataEntry,@device,WorkoutEvent
HKWorkoutActivityTypeRunning,32.38331666666667,min,3.310203427347302,mi,385.1806912110745,kcal,Runkeeper,5891,2019-08-04 10:54:05-07:00,2019-08-04 09:16:51-07:00,2019-08-04 09:49:14-07:00,"OrderedDict([('@key', 'HKExternalUUID'), ('@value', '6E137A08-8B5A-49D1-A029-02F36D8AD76D')])",,
HKWorkoutActivityTypeRunning,26.79998333333333,min,2.749978094334219,mi,318.9854819393469,kcal,Runkeeper,6000,2019-08-07 18:02:25-07:00,2019-08-07 17:30:28-07:00,2019-08-07 17:57:16-07:00,"OrderedDict([('@key', 'HKExternalUUID'), ('@value', '977498F2-870B-4368-87CA-A4D2CBF75F52')])",,
HKWorkoutActivityTypeHighIntensityIntervalTraining,7.883333333333334,min,0,mi,0,kcal,Seven,8.2.9.2,2019-08-09 20:33:08-07:00,2019-08-09 20:25:15-07:00,2019-08-09 20:33:08-07:00,"[OrderedDict([('@key', 'HKGroupFitness'), ('@value', '0')]), OrderedDict([('@key', 'HKWorkoutBrandName'), ('@value', 'Seven')]), OrderedDict([('@key', 'HKTimeZone'), ('@value', 'America/Los_Angeles')]), OrderedDict([('@key', 'HKWasUserEntered'), ('@value', '0')])]",,
HKWorkoutActivityTypeOther,76.28384960095087,min,0,mi,358.1029999999988,kcal,Pratik’s Apple Watch,4.3.2,2019-08-11 12:02:25-07:00,2019-08-11 10:39:59-07:00,2019-08-11 12:02:17-07:00,,,"[OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-11 11:17:27 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-11 11:23:28 -0700')])]"
HKWorkoutActivityTypeHiking,134.1761964678764,min,0,mi,684.5810000000042,kcal,Pratik’s Apple Watch,4.3.2,2019-08-17 16:24:53-07:00,2019-08-17 13:32:10-07:00,2019-08-17 16:24:29-07:00,,,"[OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 13:33:50 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 13:35:50 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 13:51:36 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 13:52:55 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 13:57:28 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 13:58:31 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 14:10:42 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 14:12:28 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 14:18:51 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 14:19:48 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 14:32:51 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 14:39:34 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 15:27:10 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 15:34:25 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 15:53:42 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 16:08:27 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-08-17 16:09:35 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-08-17 16:11:54 -0700')])]"
HKWorkoutActivityTypeHiking,60.00728270014127,min,0,mi,362.9520000000026,kcal,Pratik’s Apple Watch,4.3.2,2019-09-01 10:12:06-07:00,2019-09-01 08:22:19-07:00,2019-09-01 10:11:55-07:00,"[OrderedDict([('@key', 'HKTimeZone'), ('@value', 'America/Denver')]), OrderedDict([('@key', 'HKWeatherTemperature'), ('@value', '72 degF')]), OrderedDict([('@key', 'HKWeatherHumidity'), ('@value', '47 %')])]",,"[OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:26:39 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:27:36 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:31:45 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:31:47 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:31:50 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:34:02 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:37:24 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:39:26 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:40:15 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:41:34 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:43:05 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:43:23 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:47:03 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:49:51 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:50:16 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 08:50:59 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 08:55:48 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 09:05:02 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 09:06:30 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 09:14:19 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 09:15:34 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 09:16:17 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 09:20:23 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 09:21:46 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 09:34:31 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 09:46:50 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 09:50:39 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 09:51:38 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-01 09:54:47 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-01 10:01:34 -0700')])]"
HKWorkoutActivityTypeHiking,67.44998333333334,min,2.728138695552339,mi,325,kcal,Runkeeper,6535,2019-09-08 15:05:25-07:00,2019-09-07 14:35:34-07:00,2019-09-07 15:43:00-07:00,"OrderedDict([('@key', 'HKExternalUUID'), ('@value', '47F17F1B-0F9A-434E-B27C-F7049EEDEF9F')])",,
HKWorkoutActivityTypeHiking,15.51202623446782,min,0,mi,93.95400000000048,kcal,Pratik’s Apple Watch,4.3.2,2019-09-07 16:16:50-07:00,2019-09-07 15:06:23-07:00,2019-09-07 16:16:43-07:00,,,"OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-07 15:21:53 -0700')])"
HKWorkoutActivityTypeHiking,75.18311666666666,min,2.827577145484909,mi,305.0203569579605,kcal,Runkeeper,6535,2019-09-08 07:23:59-07:00,2019-09-08 04:47:06-07:00,2019-09-08 06:02:16-07:00,"OrderedDict([('@key', 'HKExternalUUID'), ('@value', '412E1CC5-C502-4FAD-BA2C-466148125F79')])",,
HKWorkoutActivityTypeHiking,51.0454720000426,min,0,mi,224.0559999999986,kcal,Pratik’s Apple Watch,4.3.2,2019-09-08 07:29:13-07:00,2019-09-08 04:50:22-07:00,2019-09-08 07:29:07-07:00,"[OrderedDict([('@key', 'HKTimeZone'), ('@value', 'America/Denver')]), OrderedDict([('@key', 'HKWeatherTemperature'), ('@value', '41 degF')]), OrderedDict([('@key', 'HKWeatherHumidity'), ('@value', '79 %')])]",,"[OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-08 05:09:56 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-08 06:38:30 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-08 07:00:46 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypeResume'), ('@date', '2019-09-08 07:19:53 -0700')]), OrderedDict([('@type', 'HKWorkoutEventTypePause'), ('@date', '2019-09-08 07:29:05 -0700')])]"
